F20,F21,F22,F23,S21,S22,S23,S24
91.36,86.09,83.76,78.09,74.68,61.96,54.09,53.6
81.26,71.93,68.66,85.72,72,76.03,52.23,67
88.36,83.54,75.59,67.72,60.02,59.26,75.42,65.02
74.6,73.71,97.69,93.55,90.44,61.19,87.48,95.37
84.15,66.36,69.45,88.53,52.42,68.84,56.31,56
83.48,61.53,66.56,68.41,81.31,77.12,51.99,69.28
68.98,80.15,92.23,67.97,86.28,52.43,87.08,70.01
81.92,84.71,70.06,84.11,58.14,54.68,54.3,69.58
72.87,61.58,99.9,70.55,62.28,58.39,69.91,79.95
85.81,66.47,77.45,78.42,66.21,70.15,49.55,90.13
65.25,91.31,99.62,83.35,67.68,86.21,81.79,63.52
87.64,69.19,90.4,71.56,72.24,66.31,76.19,68.18
76.17,73.08,74.09,91.95,88.95,86.63,85.06,58.66
71.99,72.09,75.44,92.89,62.8,86.1,47.41,53.5
86.51,80.72,63.79,61.53,53.38,80.49,71.4,89.22
76.31,90.76,71.1,61.74,88.56,66.11,64.1,72.23
78.37,79.63,71.44,62.74,87.89,56.02,57.27,80.84
82.74,70.53,88.91,79.89,74.34,59.39,68.84,64.55
70.09,87.68,82.97,74.88,92.96,74.9,84.57,57.33
78.91,69.07,93.29,73.19,76.69,48.67,73.62,54.08
66.66,70.07,96.74,63.73,80.51,54.46,79.86,92.64
63.45,77.99,96.12,72.18,83.02,58.92,84.28,72.66
73.24,88.28,83.99,80.8,87.76,62.65,80.79,63.41
98.21,78.59,81.15,94.74,76.64,56.49,78.42,60.02
74.39,65.33,83.02,94.39,61.92,80.51,57.91,68.45
90.2,62.91,98.94,72.17,73.48,65.77,44.47,70.09
87.15,62.06,82.05,91.07,70.09,70.45,88.43,72.37
73.83,75.88,84.39,83.75,64.14,86.72,82.65,70.55
78.09,59.93,94.21,63.33,81.46,85.61,83.52,62.23
91.97,59.29,82.68,84.52,89.98,81.96,75.75,86.6
96.7,76.1,68.26,73.01,81.47,78.56,67.7,83.48
84.37,62.92,73.78,78.98,52.21,71.39,60.35,62.46
62.35,89.91,74.16,62.35,92.23,76.35,83.7,94.26
87.92,78.42,88.41,77.43,74.99,79.67,87.13,58.71
86.6,66.8,83.39,65.91,78.55,57.42,87.79,74
93.49,65.28,79.2,68.29,68.76,63.19,82.43,61.88
93.24,71.67,87.99,91.36,91.14,87.37,50.16,63.25
63.94,61.72,86.06,70.9,59.38,72.47,78.8,84.96
80.46,61.49,92.91,84.17,86.67,85.18,73.43,91.7
66.1,80.85,77.32,77.28,74.74,77.37,84.89,60.65
74.41,57.77,93.45,63.79,83.11,83.49,53.62,75.74
65.22,65.21,64.25,79.91,53,87.32,89.51,82.92
82.5,72.6,67.26,67.28,52,79.08,63.62,72.04
78.58,84.87,82.12,86.83,59.65,73.6,89.78,53.91
96.05,61.86,76.34,81.21,58.12,56.35,47.46,95.39
91.84,85.61,94.82,65.17,62.94,49.65,44.03,94.26
62.51,76.01,77.65,73.7,85.4,75.4,84.93,60.11
72.01,59.68,92.66,89.23,75.97,71.79,74.35,83.98
65.83,74.55,76.49,61.09,68.1,53.76,69.85,77.04
96.85,91.4,93,70.57,66.49,53.58,77.02,72.3
67.89,92.48,76.78,75.44,56.76,47.72,48.93,63.86
90.34,79.43,75.83,80.37,89.64,78.13,53.09,66.18
95.38,77.26,67.29,70.48,72.13,72.06,47.62,88.69
