F20,F21,F22,F23,S21,S22,S23,S24
3.73,4.48,4.35,4.62,2.15,3.63,3.16,3.85
3.52,4.48,3.93,3.92,2.85,2.6,3.67,4.54
3.68,3.66,3.75,4.37,3.63,4.08,3.69,4.57
4.18,3.83,4.21,4.42,2.89,2.97,3.58,4.52
3.8,4.35,3.78,5,2.8,3.5,3.46,2.47
3.84,3.97,3.82,4.09,4.1,4.19,2.88,3.83
3.53,3.6,3.87,4.35,2.47,3.85,3.22,4.26
3.91,4.35,3.71,4.52,2.47,3.54,3.87,3.21
4.78,3.63,3.62,4.62,4.11,2.97,2.83,2.97
4.86,3.75,4.11,4.97,2.8,3.1,2.88,4.34
4.91,4.37,3.59,3.53,2.43,3.37,3.76,4.49
4.27,3.94,4.26,4.77,4.21,4.17,2.44,3.5
3.85,4.43,4.11,4.36,2.42,3.27,3.75,4.64
4.22,3.69,3.79,3.82,2.53,2.93,3.26,4.02
3.75,3.77,3.63,4.59,3.12,2.61,2.98,3.9
3.94,3.56,3.94,4.94,2.75,3.17,3.74,1.59
3.95,4.25,4.41,4.44,4.5,2.92,3.53,3.64
4.09,4.44,3.91,4.39,3.73,3.46,3.15,3.12
4.2,4.12,3.83,3.69,3.5,3.39,4.03,4.31
3.6,3.88,3.81,3.58,2.47,4.06,3.95,4.07
3.58,4.31,3.55,3.97,2.19,4.06,3.97,4.06
4.89,4.55,3.59,3.95,3.16,2.96,3.59,3.33
3.99,3.59,3.63,3.97,3.76,4.12,3.26,4.1
4.05,3.51,3.98,4.3,3.44,2.99,3.95,3.08
4.99,3.98,3.79,3.58,3.97,3.83,3.81,3.84
3.67,3.99,3.88,4,3.04,3.66,3.94,3.16
4.45,3.84,3.72,4.38,4.3,3.17,2.86,4.68
4.76,3.66,4.07,3.87,2.19,3.61,3.89,3.93
3.89,3.7,4.35,4.93,3.46,4.12,3.26,2.93
3.77,4.22,3.98,4.08,4.18,2.89,3.36,3.41
3.96,4.21,3.99,3.76,2.48,3.53,3.82,3.14
3.78,3.54,3.89,4.92,3.64,3.9,3.36,4.06
4.26,4.1,4.01,4,2.26,3.27,3.62,3.12
4.44,4.22,3.65,4.72,2.36,3.55,2.86,4.21
4.42,3.69,3.87,4.77,2.92,3.31,3.82,3
4.29,4.29,4.45,4.1,4.26,2.77,2.94,3
4.17,3.5,3.6,3.89,3.22,2.84,4.03,3.58
4.15,4.03,3.87,4.41,3.85,3.27,3.16,2.02
4.18,3.5,4.32,4.32,3.18,4.12,2.82,3.16
3.8,3.65,3.8,4.23,2.12,3.52,3.98,3.95
3.61,3.58,3.72,4.66,4.07,3.87,3.74,3.71
4.84,4.28,3.98,4.05,4.16,3.97,3.79,4.23
4.69,4.18,3.7,3.63,2.61,3.49,3.93,4.59
3.84,4.55,4.31,4.15,3.1,2.92,3.5,4.64
4.03,3.67,4.35,4.57,2.46,3.8,1.76,3.96
4.43,4.38,3.95,4.22,3.94,3.09,3.01,2.85
3.97,3.66,4.44,3.5,3.97,3.25,2.97,2.98
5,4.41,3.59,4.54,3.12,3.22,3.57,3.17
4.35,4.22,4.41,3.57,3.68,3.26,3.55,4.08
3.69,4.03,4.14,4.51,3.17,3.26,3.52,3.06
4.14,4.25,4.05,3.92,2.55,3.99,3.35,4.08
4.55,3.53,3.62,4.44,2.34,4.21,2.77,4.14
3.6,3.86,3.81,4.71,3.51,2.75,3.41,3.79
4.64,3.58,3.8,4.94,3.27,4.03,4.06,1.86
4.49,4.08,4.34,4.37,2.87,2.95,3.2,3.9
4.16,3.88,4.07,3.71,2.19,3.8,2.9,3.22
4.1,3.92,3.59,4.38,3.7,4.16,3.79,3.29
4.19,4.24,4.12,4.21,4.19,3.08,2.81,3.76
3.9,4.31,4.18,4.94,2.88,3.36,3.78,4.39
4.02,3.77,3.97,4.66,3.83,1.79,3.65,4.32
4.81,3.97,3.76,4.02,2.25,3.77,3.17,2.87
3.7,4.54,3.83,4.15,4.03,2.89,3.55,3.18
4.35,3.62,3.59,3.8,3.41,1.32,2.86,3.99
4.63,4.15,4.01,4.21,4.16,3.6,3.23,4.41
3.74,3.82,3.63,4.73,3.37,3.85,4.01,4.38
3.95,3.65,3.56,4.3,2.77,3.62,3.34,4.33
3.55,3.96,4.18,4.44,2.31,3.6,2.9,4.2
3.63,4.1,3.73,4.67,3,3.15,3.54,4.72
3.6,4.31,3.6,4.99,3.93,3.34,2.75,4.26
3.55,4.06,4.42,4.36,2.91,3.02,3.68,3.21
4.3,3.82,3.96,3.71,3.25,3.21,3.44,3.37
4.34,4.08,4.43,3.64,4.24,3.23,4.02,3.2
4.27,4.06,4.31,4.53,2.4,4.19,3.66,2.87
4.66,4.21,3.59,3.72,4.17,3.31,3.05,4.12
3.96,3.87,4.39,3.9,2.56,3.42,3.68,3.76
4.15,4.04,3.7,3.84,3.24,2.96,3.93,4.48
4.24,3.79,4.08,4.92,3.92,3.53,3.63,4.75
4.77,3.99,4.43,3.54,2.83,3.58,2.97,3.97
4.76,4.14,3.94,3.79,4.4,4.09,3.61,2.95
3.87,3.9,4.45,4.37,2.34,3.25,3.06,3.52
4.61,3.92,4.17,4.01,2.01,3.44,3.96,3.71
4.64,3.99,3.81,4.47,2.57,3.08,3.13,3.71
4.46,3.48,3.98,4.75,3.61,3.37,3.19,3.48
4.69,3.52,4.02,4.34,2.52,2.91,4.04,3.27
3.87,3.46,4.01,4.31,4.27,3.44,3.48,3.22
4.86,3.45,3.79,3.65,4.38,4.13,3.36,3.5
4.72,4.29,3.92,3.92,3.42,3.75,2.78,3.98
4.66,3.75,3.56,4.22,3.27,2.9,4.04,4.34
4.23,4,3.62,4.93,3.83,3.61,3.4,3.68
4.63,4.39,4.01,3.94,2.24,3.85,3.16,4.47
4.71,3.87,4.24,3.5,4.08,3.13,3.32,3.19
4.82,3.48,3.73,3.93,2.76,3.14,4.07,3.08
3.51,3.85,4.32,4.47,2.84,3,3.16,3.15
4.92,3.92,3.65,4.65,2.68,3.4,2.84,3.06
4.86,3.88,3.57,4.74,3.32,3.09,3.53,4.14
3.71,3.62,4.44,4.53,2.76,3.65,3.13,3.88
4.18,4.45,3.93,4.02,4.27,3.56,1.93,3.57
3.59,3.56,4.05,4.86,2.5,4.21,3.4,3.01
4.36,3.89,4.05,4.31,3.13,3.79,3.59,4.59
4.41,3.97,4.18,4.67,3.2,3.16,3.47,4.28
4.66,3.93,4.05,4.18,3.57,3.58,3.64,3.12
4.35,3.6,4.07,4.98,2.6,4.08,3.19,3.35
4.15,3.58,4.04,4.94,3.1,3.55,3.55,3.96
3.61,4.06,3.68,3.87,4.45,3.74,2.8,3.93
3.68,4.32,3.65,4.39,3.98,3.3,3.94,4.12
4.7,4.36,3.94,4.04,,4.11,3.19,3.43
3.63,3.74,3.96,3.95,,3.14,2.94,1.18
4.64,3.73,4.25,3.65,,3.36,2.87,4.17
4.55,4.07,3.65,4.64,,3.33,,3.89
4.49,4.06,4.44,3.58,,3.51,,3.96
3.77,4.05,4.19,4.6,,,,2.87
3.65,4.13,3.96,4.85,,,,4.49
4.36,3.6,3.65,4.24,,,,3.52
4.18,4.38,4.13,4.59,,,,
4.75,3.64,3.88,3.64,,,,
3.97,4.23,3.94,4.95,,,,
4.04,4.32,4.21,4.89,,,,
3.82,4.26,4.31,3.52,,,,
4.71,3.93,4,3.91,,,,
4,4.47,3.85,3.68,,,,
,3.51,2.49,2.79,,,,
,3.87,,1.73,,,,
,1.65,,4.81,,,,
,,,1.17,,,,
,,,2.59,,,,
