F20,F21,F22,F23,S21,S22,S23,S24
3.92,3.78,4.05,4.95,3.47,2.86,4.61,3.4
3.9,3.57,4.17,4.14,2.77,2.9,3.71,2.75
4.02,4.21,3.35,2.59,2.85,3.31,3.75,2.41
4.41,3.48,3.99,4.2,3.49,1.83,4.61,2.76
4.41,3.41,4.27,3.97,3.45,3.51,1.67,3.43
4.05,3.38,3.73,4.19,3.36,2.7,3.87,2.87
4.23,4,3.58,4.51,3.2,2.69,3.33,2.97
3.9,1.48,4.38,4.02,3.15,3.25,3.44,3.09
4.17,4.1,4.57,3.87,2.87,3.5,3.58,2.96
3.78,3.5,4.54,4.49,3.04,2.73,3.91,3.17
4.03,3.83,3.51,3.79,3.29,2.59,4.43,1.33
4,3.87,4.42,3.96,3.36,2.55,3.42,2.86
3.75,3.74,3.56,4.26,3.1,3.26,4.37,2.85
4.02,4.01,3.93,4.19,3.5,3.64,4.26,3.42
4.02,3.38,4.34,4.56,3.12,3.05,4.44,3.38
4.04,4.13,4.6,4.71,3.14,2.69,4.53,2.99
4.15,3.56,4.5,3.94,3.01,3.01,4.69,3.31
3.96,3.67,3.8,4.27,3.2,3.33,3.47,3.44
4.5,3.37,4.45,4.58,3.11,2.93,3.99,3.36
3.92,3.99,4.42,4.73,3.24,3.51,4.09,2.87
4.23,3.47,4.29,4.39,2.79,2.97,4.63,3.39
3.81,3.39,3.71,1.17,3.41,3.49,4.36,2.68
4.37,3.75,3.69,4.83,3.45,3.39,4.73,2.79
4.09,3.66,3.7,2.02,2.77,3.51,4.25,3.27
3.98,3.39,4.03,3.9,3.39,2.97,4,3.39
4.03,4.2,3.94,4.87,3.18,2.88,4.68,3.36
4,3.79,4.45,5,3.05,3.51,2.26,3.12
4.03,3.51,3.84,4.73,3.4,3,3.95,3.02
4.4,3.78,3.5,4.2,3.33,2.61,3.56,3.43
3.94,3.67,3.81,3.97,2.82,3.13,4.1,2.74
4.21,3.35,4.69,4.09,3.19,3.04,4.24,2.73
3.97,4.16,4.38,4.03,2.93,2.61,4.26,3.09
4.09,4.13,4.22,3.99,3.26,3.35,3.49,2.76
3.77,3.44,4.15,4.24,3.2,2.92,4.43,3.2
4.01,3.97,4.13,4.39,2.86,2.82,4.53,1.95
4.21,3.99,3.44,4.86,2.99,3.63,3.52,3.41
